"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","test_valid_login","tests","Thu Apr 17 09:34:58 SAST 2025","broken","Thu Apr 17 09:34:59 SAST 2025","TestLoginFlow","test_login","",""
"","2500","test_click_login_btn","tests","Thu Apr 17 09:34:56 SAST 2025","passed","Thu Apr 17 09:34:58 SAST 2025","TestLoginFlow","test_login","",""
